,n,nc,Pii,Pij,Phi,B,p,EK,Eq,Graph,rep,design,K,q,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
59,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.1651611604213583,-13.268150710875839,1.3576005297544462,176.04382328651502
60,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,1.39755919220147,16.006672888671062,1.9531716957068255,256.2135769649172
61,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,1.39755919220147,16.006672888671062,1.9531716957068255,256.2135769649172
62,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,7.803594508493242,89.37695472956709,60.89608725298588,7988.240036731085
63,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,7.803594508493242,89.37695472956709,60.89608725298588,7988.240036731085
64,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,825.8148456425337,9458.310012605787,681970.1592836017,89459628.29455888
65,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,825.8148456425337,9458.310012605787,681970.1592836017,89459628.29455888
66,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.043968522631314,-11.956890800099778,1.0898702762450083,142.96723760551072
67,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.7744577687873611,-8.870101703200184,0.5997848356350975,78.67870422511481
68,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.1678990115853616,-13.376304595729934,1.3639881012620645,178.92552463774575
69,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,1.1549903975438203,13.228458290856379,1.334002818418432,174.99210875292687
70,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),0.9873643152680005,11.308585500086087,0.9748882910646475,127.8841060127573
71,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),1.1394124755033364,13.050039585030786,1.298260789332641,170.3035331708705
72,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,12.705337279871554,145.51811394749438,161.4255953952939,21175.521486835958
73,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-0.3251018762867625,-3.723491225454473,0.10569122996517344,13.864386906036453
74,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),0.2924865511435765,3.349937930797765,0.08554838259986401,11.22208414019761
75,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,796.2272032803025,9119.433694892765,633977.7592435722,83164070.91554551
76,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),3.3361596074675077,38.2100563891046,11.129960926497755,1460.0084092585532
77,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),-4.8251730619615625,-55.264182916205236,23.28229507787952,3054.1299133957905
78,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-0.7404713993209157,-8.480845418558692,0.548297893212275,71.92473901348795
79,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.1460425493213766,-13.125975848357093,1.31341352485504,172.2912419716537
80,1000,50,0.5,0.0,0.4,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,1.4224191548142364,16.338556437000605,2.0232762519824465,266.9484264450539
81,1000,50,0.5,0.0,0.4,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,1.4224191548142364,16.338556437000605,2.0232762519824465,266.9484264450539
82,1000,50,0.5,0.0,0.4,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-3.6739642085144504,-42.20083184704651,13.498013005445213,1780.9102085826948
83,1000,50,0.5,0.0,0.4,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-3.6739642085144504,-42.20083184704651,13.498013005445213,1780.9102085826948
84,1000,50,0.5,0.0,0.4,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,-347.1502220067552,-3987.5260925570115,120513.27663933943,15900364.338822989
85,1000,50,0.5,0.0,0.4,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,-347.1502220067552,-3987.5260925570115,120513.27663933943,15900364.338822989
86,1000,50,0.5,0.0,0.4,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0478053797974884,-12.035571424127713,1.097896113932559,144.8549795052796
87,1000,50,0.5,0.0,0.4,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.7085842364315446,-8.139122352312334,0.502091620119275,66.24531266591026
