,n,nc,Pii,Pij,Phi,K,p,q,B,ratio,out-in,Graph,rep,design,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
96,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Bernoulli,LS-Num,-1.0018597511267062,-2.519861398466685,1.0037229609276657,6.349701467482478
97,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Bernoulli,DM,-1.0512351673775322,-2.644049644679548,1.1050953771312682,6.990998523530044
98,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Bernoulli,DM($0.75$),-1.297940640429458,-3.2645592495767195,1.6846499060784317,10.657347093996915
99,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Cluster,PI-$n$($p$),-0.015020346364038567,-0.037778931583761555,0.0002256108048956866,0.0014272476716105363
100,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Cluster,PI-$\mathcal{U}$($p$),-0.015020346364038567,-0.037778931583761555,0.0002256108048956866,0.0014272476716105363
101,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Cluster,LS-Prop,-0.7472724749046818,-1.8795276100584906,0.5584161517501683,3.5326240369721815
102,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Cluster,LS-Num,-0.4156726421420456,-1.0454930883833125,0.17278374542534908,1.0930557978572768
103,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Cluster,DM,-0.623772987653931,-1.5689037025668346,0.38909274012671113,2.4614588279279226
104,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Cluster,DM($0.75$),-0.947819767251267,-2.383940907411586,0.8983623111922461,5.683174250030375
105,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Bernoulli,PI-$n$($B$),-0.050747876931654376,-0.12764023705952932,0.002575347013070338,0.01629203011661284
106,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Bernoulli,LS-Prop,-1.1654297287243562,-2.9312699534394167,1.3582264525945267,8.59234353993672
107,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Bernoulli,LS-Num,-0.8749442864584189,-2.200645679972737,0.7655275044062319,4.84284140878267
108,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Bernoulli,DM,-0.9930409831512955,-2.4976805762724803,0.9861303942180916,6.238408261088829
109,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,4,Bernoulli,DM($0.75$),-1.2485796547710801,-3.140407298955955,1.5589511543082697,9.862158003335836
110,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Cluster,PI-$n$($p$),0.02459905393254176,0.061708574411953876,0.0006051134543760982,0.003807948155955649
111,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Cluster,PI-$\mathcal{U}$($p$),0.02459905393254176,0.061708574411953876,0.0006051134543760982,0.003807948155955649
112,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Cluster,LS-Prop,-0.7162439788133905,-1.7967518175668766,0.5130054371864367,3.2283170939298746
113,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Cluster,LS-Num,-0.393064059824086,-0.9860307169062354,0.15449935512539265,0.9722565746826246
114,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Cluster,DM,-0.625485792563423,-1.5690780905585713,0.3912324766986934,2.462006054270932
115,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Cluster,DM($0.75$),-0.7165308342520594,-1.7974714159803407,0.5134164364339523,3.2309034912663708
116,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM2,0,Bernoulli,PI-$n$($B$),-0.04632117996719969,-0.11620015910750503,0.002145651713553702,0.013502476976609484
